player,pass_recipient,pass_count,pass_type,pass_cross,pass_switch,edge_color,team
Abidal,Busquets,7,Throw-in,False,False,#f2e691,Barcelona
Abidal,Iniesta,15,Throw-in,False,False,#f2e691,Barcelona
Abidal,Messi,4,Throw-in,False,False,#f2e691,Barcelona
Abidal,Pedro,9,Throw-in,False,False,#f2e691,Barcelona
Abidal,Piqué,6,Recovery,False,False,#f2e691,Barcelona
Abidal,Valdés,2,,False,False,#f2e691,Barcelona
Abidal,Xavi,12,Free Kick,False,False,#f2e691,Barcelona
Afellay,Puyol,1,,False,False,#f2e691,Barcelona
Busquets,Abidal,9,,False,False,#f2e691,Barcelona
Busquets,Dani Alves,6,Recovery,False,False,#f2e691,Barcelona
Busquets,Iniesta,18,Recovery,False,False,#f2e691,Barcelona
Busquets,Keita,1,,False,False,#f2e691,Barcelona
Busquets,Mascherano,5,Free Kick,False,True,#4ECDC4,Barcelona
Busquets,Messi,14,Free Kick,False,False,#f2e691,Barcelona
Busquets,Pedro,4,Recovery,False,False,#f2e691,Barcelona
Busquets,Piqué,5,Recovery,False,False,#f2e691,Barcelona
Busquets,Villa,3,,False,False,#f2e691,Barcelona
Busquets,Xavi,13,Free Kick,False,False,#f2e691,Barcelona
Dani Alves,Busquets,10,Recovery,False,False,#f2e691,Barcelona
Dani Alves,Iniesta,4,,False,False,#f2e691,Barcelona
Dani Alves,Mascherano,7,Recovery,False,False,#f2e691,Barcelona
Dani Alves,Messi,17,Throw-in,True,False,#FF6B6B,Barcelona
Dani Alves,Piqué,1,,False,True,#4ECDC4,Barcelona
Dani Alves,Villa,9,Throw-in,False,False,#f2e691,Barcelona
Dani Alves,Xavi,18,Free Kick,False,False,#f2e691,Barcelona
Iniesta,Abidal,7,,False,False,#f2e691,Barcelona
Iniesta,Busquets,12,Recovery,False,False,#f2e691,Barcelona
Iniesta,Dani Alves,8,Recovery,False,True,#4ECDC4,Barcelona
Iniesta,Mascherano,3,,False,False,#f2e691,Barcelona
