player,pass_recipient,pass_count,pass_type,pass_cross,pass_switch,edge_color,team
Carrick,Chicharito,3,,False,False,#f2e691,Manchester United
Carrick,Fábio,4,Recovery,False,True,#4ECDC4,Manchester United
Carrick,Giggs,3,Recovery,False,False,#f2e691,Manchester United
Carrick,Rooney,2,Recovery,False,False,#f2e691,Manchester United
Carrick,Van der Sar,1,,False,False,#f2e691,Manchester United
Carrick,Vidić,1,,False,False,#f2e691,Manchester United
Chicharito,Carrick,3,Kick Off,False,False,#f2e691,Manchester United
Chicharito,Giggs,1,,False,False,#f2e691,Manchester United
Chicharito,Park,1,,False,False,#f2e691,Manchester United
Chicharito,Rooney,2,Kick Off,False,False,#f2e691,Manchester United
Chicharito,Valencia,1,,False,False,#f2e691,Manchester United
Evra,Carrick,2,Recovery,False,False,#f2e691,Manchester United
Evra,Chicharito,1,,False,False,#f2e691,Manchester United
Evra,Ferdinand,1,,False,False,#f2e691,Manchester United
Evra,Giggs,1,Throw-in,False,False,#f2e691,Manchester United
Evra,Park,7,Throw-in,False,False,#f2e691,Manchester United
Evra,Rooney,2,,False,False,#f2e691,Manchester United
Evra,Vidić,1,Throw-in,False,False,#f2e691,Manchester United
Ferdinand,Carrick,3,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Evra,2,,False,True,#4ECDC4,Manchester United
Ferdinand,Giggs,2,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Park,1,,False,True,#4ECDC4,Manchester United
Ferdinand,Valencia,1,,False,False,#f2e691,Manchester United
Ferdinand,Van der Sar,4,,False,False,#f2e691,Manchester United
Ferdinand,Vidić,3,,False,True,#4ECDC4,Manchester United
Fábio,Ferdinand,2,Throw-in,False,False,#f2e691,Manchester United
Fábio,Giggs,5,Throw-in,False,False,#f2e691,Manchester United
Fábio,Rooney,3,Recovery,False,False,#f2e691,Manchester United
Fábio,Valencia,4,,False,False,#f2e691,Manchester United
Giggs,Evra,1,Throw-in,False,False,#f2e691,Manchester United
Giggs,Ferdinand,2,,False,False,#f2e691,Manchester United
Giggs,Fábio,4,,False,True,#4ECDC4,Manchester United
Giggs,Park,4,,False,False,#f2e691,Manchester United
Giggs,Rooney,2,Throw-in,False,False,#f2e691,Manchester United
Giggs,Valencia,1,,False,False,#f2e691,Manchester United
Giggs,Vidić,1,,False,False,#f2e691,Manchester United
Park,Carrick,1,,False,False,#f2e691,Manchester United
Park,Evra,4,,False,False,#f2e691,Manchester United
Park,Fábio,1,,False,False,#f2e691,Manchester United
Park,Giggs,1,Recovery,False,False,#f2e691,Manchester United
Park,Rooney,4,Interception,False,False,#f2e691,Manchester United
Rooney,Carrick,3,,False,False,#f2e691,Manchester United
Rooney,Chicharito,2,,False,False,#f2e691,Manchester United
Rooney,Evra,1,,False,False,#f2e691,Manchester United
Rooney,Ferdinand,1,,False,False,#f2e691,Manchester United
Rooney,Fábio,1,,False,False,#f2e691,Manchester United
Rooney,Giggs,4,Throw-in,False,False,#f2e691,Manchester United
Rooney,Park,1,,True,False,#FF6B6B,Manchester United
Rooney,Valencia,1,,False,False,#f2e691,Manchester United
Valencia,Carrick,1,,False,False,#f2e691,Manchester United
Valencia,Ferdinand,2,Recovery,False,False,#f2e691,Manchester United
Valencia,Fábio,3,,False,False,#f2e691,Manchester United
Valencia,Giggs,1,Recovery,False,False,#f2e691,Manchester United
Valencia,Rooney,1,,False,False,#f2e691,Manchester United
Valencia,Vidić,1,Recovery,False,False,#f2e691,Manchester United
Van der Sar,Evra,1,,False,False,#f2e691,Manchester United
Van der Sar,Ferdinand,3,,False,False,#f2e691,Manchester United
Van der Sar,Fábio,1,Goal Kick,False,False,#f2e691,Manchester United
Van der Sar,Giggs,1,,False,False,#f2e691,Manchester United
Van der Sar,Park,1,,False,False,#f2e691,Manchester United
Van der Sar,Rooney,1,Goal Kick,False,False,#f2e691,Manchester United
Van der Sar,Valencia,1,,False,True,#4ECDC4,Manchester United
Vidić,Carrick,1,Recovery,False,False,#f2e691,Manchester United
Vidić,Evra,2,Recovery,False,False,#f2e691,Manchester United
Vidić,Ferdinand,5,Free Kick,False,True,#4ECDC4,Manchester United
Vidić,Giggs,1,Recovery,False,False,#f2e691,Manchester United
Vidić,Park,1,Recovery,False,False,#f2e691,Manchester United
Vidić,Rooney,1,,False,False,#f2e691,Manchester United
Vidić,Van der Sar,3,,False,False,#f2e691,Manchester United
