player,pass_recipient,pass_count,pass_type,pass_cross,pass_switch,edge_color,team
Carrick,Chicharito,6,,False,False,#f2e691,Manchester United
Carrick,Evra,1,,False,False,#f2e691,Manchester United
Carrick,Ferdinand,1,,False,False,#f2e691,Manchester United
Carrick,Fábio,4,Recovery,False,True,#4ECDC4,Manchester United
Carrick,Giggs,6,Recovery,False,True,#4ECDC4,Manchester United
Carrick,Nani,1,Recovery,False,False,#f2e691,Manchester United
Carrick,Rooney,5,Recovery,False,False,#f2e691,Manchester United
Carrick,Valencia,1,Recovery,False,False,#f2e691,Manchester United
Carrick,Van der Sar,2,Recovery,False,False,#f2e691,Manchester United
Carrick,Vidić,1,,False,False,#f2e691,Manchester United
Chicharito,Carrick,4,Kick Off,False,False,#f2e691,Manchester United
Chicharito,Giggs,3,,False,False,#f2e691,Manchester United
Chicharito,Park,1,,False,False,#f2e691,Manchester United
Chicharito,Rooney,5,Kick Off,False,False,#f2e691,Manchester United
Chicharito,Scholes,1,,False,False,#f2e691,Manchester United
Chicharito,Valencia,1,,False,False,#f2e691,Manchester United
Evra,Carrick,2,Recovery,False,False,#f2e691,Manchester United
Evra,Chicharito,1,,False,False,#f2e691,Manchester United
Evra,Ferdinand,1,,False,False,#f2e691,Manchester United
Evra,Giggs,4,Throw-in,False,False,#f2e691,Manchester United
Evra,Park,7,Throw-in,False,False,#f2e691,Manchester United
Evra,Rooney,4,Recovery,False,False,#f2e691,Manchester United
Evra,Scholes,3,Free Kick,False,False,#f2e691,Manchester United
Evra,Vidić,4,Throw-in,False,False,#f2e691,Manchester United
Ferdinand,Carrick,5,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Evra,2,,False,True,#4ECDC4,Manchester United
Ferdinand,Giggs,2,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Nani,1,,False,False,#f2e691,Manchester United
Ferdinand,Park,4,,False,True,#4ECDC4,Manchester United
Ferdinand,Rooney,3,,False,False,#f2e691,Manchester United
Ferdinand,Scholes,4,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Valencia,6,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Van der Sar,8,,False,False,#f2e691,Manchester United
Ferdinand,Vidić,6,,False,True,#4ECDC4,Manchester United
Fábio,Ferdinand,3,Throw-in,False,False,#f2e691,Manchester United
Fábio,Giggs,5,Throw-in,False,False,#f2e691,Manchester United
Fábio,Rooney,3,Recovery,False,False,#f2e691,Manchester United
Fábio,Valencia,4,,False,False,#f2e691,Manchester United
Giggs,Chicharito,1,,False,False,#f2e691,Manchester United
Giggs,Evra,4,Recovery,False,False,#f2e691,Manchester United
Giggs,Ferdinand,2,,False,False,#f2e691,Manchester United
Giggs,Fábio,4,,False,True,#4ECDC4,Manchester United
Giggs,Park,5,Recovery,False,False,#f2e691,Manchester United
Giggs,Rooney,8,Recovery,False,False,#f2e691,Manchester United
Giggs,Valencia,1,,False,False,#f2e691,Manchester United
Giggs,Vidić,2,,False,False,#f2e691,Manchester United
Nani,Carrick,1,Recovery,False,False,#f2e691,Manchester United
Nani,Chicharito,1,,False,False,#f2e691,Manchester United
Nani,Evra,1,,False,False,#f2e691,Manchester United
Nani,Park,1,Recovery,False,False,#f2e691,Manchester United
Nani,Rooney,1,,False,False,#f2e691,Manchester United
Nani,Scholes,1,,False,False,#f2e691,Manchester United
Nani,Valencia,1,,False,False,#f2e691,Manchester United
Park,Carrick,5,Recovery,False,False,#f2e691,Manchester United
Park,Chicharito,1,Recovery,False,False,#f2e691,Manchester United
Park,Evra,4,,False,False,#f2e691,Manchester United
Park,Fábio,1,,False,False,#f2e691,Manchester United
Park,Giggs,3,Recovery,False,False,#f2e691,Manchester United
Park,Nani,2,,False,False,#f2e691,Manchester United
Park,Rooney,6,Interception,False,False,#f2e691,Manchester United
Park,Valencia,1,,False,False,#f2e691,Manchester United
Park,Vidić,2,,False,False,#f2e691,Manchester United
Rooney,Carrick,5,,False,False,#f2e691,Manchester United
Rooney,Chicharito,4,,False,False,#f2e691,Manchester United
Rooney,Evra,2,,False,False,#f2e691,Manchester United
Rooney,Ferdinand,1,,False,False,#f2e691,Manchester United
Rooney,Fábio,1,,False,False,#f2e691,Manchester United
Rooney,Giggs,7,Throw-in,False,False,#f2e691,Manchester United
Rooney,Nani,2,,False,False,#f2e691,Manchester United
Rooney,Park,4,,True,False,#FF6B6B,Manchester United
Rooney,Scholes,1,,False,False,#f2e691,Manchester United
Rooney,Valencia,5,Throw-in,False,False,#f2e691,Manchester United
Rooney,Vidić,1,,False,False,#f2e691,Manchester United
Scholes,Evra,1,,False,False,#f2e691,Manchester United
Scholes,Ferdinand,6,,False,False,#f2e691,Manchester United
Scholes,Park,2,,False,False,#f2e691,Manchester United
Scholes,Rooney,1,,False,False,#f2e691,Manchester United
Scholes,Valencia,1,,False,False,#f2e691,Manchester United
Scholes,Vidić,2,,False,False,#f2e691,Manchester United
Valencia,Carrick,1,,False,False,#f2e691,Manchester United
Valencia,Ferdinand,6,Recovery,False,False,#f2e691,Manchester United
Valencia,Fábio,3,,False,False,#f2e691,Manchester United
Valencia,Giggs,1,Recovery,False,False,#f2e691,Manchester United
Valencia,Nani,5,Recovery,False,False,#f2e691,Manchester United
Valencia,Rooney,3,,True,True,#FF6B6B,Manchester United
Valencia,Scholes,3,,False,False,#f2e691,Manchester United
Valencia,Vidić,1,Recovery,False,False,#f2e691,Manchester United
Van der Sar,Carrick,1,,False,False,#f2e691,Manchester United
Van der Sar,Evra,1,,False,False,#f2e691,Manchester United
Van der Sar,Ferdinand,6,Recovery,False,False,#f2e691,Manchester United
Van der Sar,Fábio,2,Goal Kick,False,False,#f2e691,Manchester United
Van der Sar,Giggs,2,Free Kick,False,False,#f2e691,Manchester United
Van der Sar,Nani,1,,False,False,#f2e691,Manchester United
Van der Sar,Park,1,,False,False,#f2e691,Manchester United
Van der Sar,Rooney,3,Free Kick,False,False,#f2e691,Manchester United
Van der Sar,Valencia,2,,False,True,#4ECDC4,Manchester United
Van der Sar,Vidić,1,,False,False,#f2e691,Manchester United
Vidić,Carrick,2,Recovery,False,False,#f2e691,Manchester United
Vidić,Evra,4,Recovery,False,False,#f2e691,Manchester United
Vidić,Ferdinand,10,Free Kick,False,True,#4ECDC4,Manchester United
Vidić,Giggs,1,Recovery,False,False,#f2e691,Manchester United
Vidić,Park,2,Recovery,False,False,#f2e691,Manchester United
Vidić,Rooney,1,,False,False,#f2e691,Manchester United
Vidić,Scholes,2,,False,False,#f2e691,Manchester United
Vidić,Van der Sar,7,Recovery,False,False,#f2e691,Manchester United
