player,pass_recipient,pass_count,pass_type,pass_cross,pass_switch,edge_color,team
Carrick,Chicharito,2,,False,False,#f2e691,Manchester United
Carrick,Evra,1,,False,False,#f2e691,Manchester United
Carrick,Giggs,1,Recovery,False,False,#f2e691,Manchester United
Carrick,Rooney,2,,False,False,#f2e691,Manchester United
Chicharito,Carrick,1,,False,False,#f2e691,Manchester United
Chicharito,Giggs,2,,False,False,#f2e691,Manchester United
Chicharito,Rooney,1,Kick Off,False,False,#f2e691,Manchester United
Evra,Giggs,1,,False,False,#f2e691,Manchester United
Evra,Rooney,1,,False,False,#f2e691,Manchester United
Ferdinand,Carrick,1,,False,False,#f2e691,Manchester United
Ferdinand,Park,2,,False,False,#f2e691,Manchester United
Ferdinand,Valencia,1,,False,False,#f2e691,Manchester United
Ferdinand,Vidić,1,,False,False,#f2e691,Manchester United
Fábio,Ferdinand,1,,False,False,#f2e691,Manchester United
Giggs,Rooney,3,Recovery,False,False,#f2e691,Manchester United
Park,Carrick,3,Recovery,False,False,#f2e691,Manchester United
Park,Rooney,1,,False,False,#f2e691,Manchester United
Park,Valencia,1,,False,False,#f2e691,Manchester United
Park,Vidić,1,,False,False,#f2e691,Manchester United
Rooney,Carrick,1,,False,False,#f2e691,Manchester United
Rooney,Chicharito,2,,False,False,#f2e691,Manchester United
Rooney,Evra,1,,False,False,#f2e691,Manchester United
Rooney,Park,3,,False,False,#f2e691,Manchester United
Rooney,Valencia,2,,False,False,#f2e691,Manchester United
Valencia,Ferdinand,1,Recovery,False,False,#f2e691,Manchester United
Valencia,Rooney,2,,True,True,#FF6B6B,Manchester United
Van der Sar,Ferdinand,1,Recovery,False,False,#f2e691,Manchester United
Van der Sar,Fábio,1,,False,False,#f2e691,Manchester United
Van der Sar,Giggs,1,Free Kick,False,False,#f2e691,Manchester United
Van der Sar,Rooney,1,Free Kick,False,False,#f2e691,Manchester United
Vidić,Carrick,1,,False,False,#f2e691,Manchester United
Vidić,Ferdinand,2,Free Kick,False,False,#f2e691,Manchester United
Vidić,Van der Sar,1,Recovery,False,False,#f2e691,Manchester United
