player,pass_recipient,pass_count,pass_type,pass_cross,pass_switch,edge_color,team
Carrick,Chicharito,1,,False,False,#f2e691,Manchester United
Carrick,Ferdinand,1,,False,False,#f2e691,Manchester United
Carrick,Giggs,2,,False,True,#4ECDC4,Manchester United
Carrick,Rooney,1,,False,False,#f2e691,Manchester United
Carrick,Valencia,1,Recovery,False,False,#f2e691,Manchester United
Carrick,Van der Sar,1,Recovery,False,False,#f2e691,Manchester United
Chicharito,Rooney,1,Kick Off,False,False,#f2e691,Manchester United
Ferdinand,Carrick,1,,False,False,#f2e691,Manchester United
Ferdinand,Rooney,1,,False,False,#f2e691,Manchester United
Ferdinand,Van der Sar,1,,False,False,#f2e691,Manchester United
Giggs,Park,1,Recovery,False,False,#f2e691,Manchester United
Giggs,Rooney,2,,False,False,#f2e691,Manchester United
Nani,Carrick,1,Recovery,False,False,#f2e691,Manchester United
Park,Carrick,1,Recovery,False,False,#f2e691,Manchester United
Park,Rooney,1,,False,False,#f2e691,Manchester United
Rooney,Carrick,1,,False,False,#f2e691,Manchester United
Rooney,Giggs,1,,False,False,#f2e691,Manchester United
Rooney,Valencia,1,,False,False,#f2e691,Manchester United
Valencia,Nani,2,Recovery,False,False,#f2e691,Manchester United
Van der Sar,Carrick,1,,False,False,#f2e691,Manchester United
Van der Sar,Ferdinand,1,,False,False,#f2e691,Manchester United
Van der Sar,Nani,1,,False,False,#f2e691,Manchester United
Van der Sar,Vidić,1,,False,False,#f2e691,Manchester United
Vidić,Van der Sar,1,,False,False,#f2e691,Manchester United
