player,pass_recipient,pass_count,pass_type,pass_cross,pass_switch,edge_color,team
Chicharito,Rooney,1,,False,False,#f2e691,Manchester United
Chicharito,Scholes,1,,False,False,#f2e691,Manchester United
Evra,Giggs,2,,False,False,#f2e691,Manchester United
Evra,Rooney,1,Recovery,False,False,#f2e691,Manchester United
Evra,Scholes,3,Free Kick,False,False,#f2e691,Manchester United
Evra,Vidić,3,Throw-in,False,False,#f2e691,Manchester United
Ferdinand,Nani,1,,False,False,#f2e691,Manchester United
Ferdinand,Park,1,,False,False,#f2e691,Manchester United
Ferdinand,Rooney,2,,False,False,#f2e691,Manchester United
Ferdinand,Scholes,4,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Valencia,4,Recovery,False,False,#f2e691,Manchester United
Ferdinand,Van der Sar,3,,False,False,#f2e691,Manchester United
Ferdinand,Vidić,2,,False,False,#f2e691,Manchester United
Giggs,Chicharito,1,,False,False,#f2e691,Manchester United
Giggs,Evra,1,,False,False,#f2e691,Manchester United
Giggs,Rooney,1,,False,False,#f2e691,Manchester United
Giggs,Vidić,1,,False,False,#f2e691,Manchester United
Nani,Chicharito,1,,False,False,#f2e691,Manchester United
Nani,Evra,1,,False,False,#f2e691,Manchester United
Nani,Park,1,Recovery,False,False,#f2e691,Manchester United
Nani,Rooney,1,,False,False,#f2e691,Manchester United
Nani,Scholes,1,,False,False,#f2e691,Manchester United
Nani,Valencia,1,,False,False,#f2e691,Manchester United
Park,Chicharito,1,Recovery,False,False,#f2e691,Manchester United
Park,Giggs,2,,False,False,#f2e691,Manchester United
Park,Nani,2,,False,False,#f2e691,Manchester United
Park,Vidić,1,,False,False,#f2e691,Manchester United
Rooney,Giggs,2,,False,False,#f2e691,Manchester United
Rooney,Nani,2,,False,False,#f2e691,Manchester United
Rooney,Scholes,1,,False,False,#f2e691,Manchester United
Rooney,Valencia,1,Throw-in,False,False,#f2e691,Manchester United
Rooney,Vidić,1,,False,False,#f2e691,Manchester United
Scholes,Evra,1,,False,False,#f2e691,Manchester United
Scholes,Ferdinand,6,,False,False,#f2e691,Manchester United
Scholes,Park,2,,False,False,#f2e691,Manchester United
Scholes,Rooney,1,,False,False,#f2e691,Manchester United
Scholes,Valencia,1,,False,False,#f2e691,Manchester United
Scholes,Vidić,2,,False,False,#f2e691,Manchester United
Valencia,Ferdinand,3,Throw-in,False,False,#f2e691,Manchester United
Valencia,Nani,3,,False,False,#f2e691,Manchester United
Valencia,Scholes,3,,False,False,#f2e691,Manchester United
Van der Sar,Ferdinand,1,,False,False,#f2e691,Manchester United
Van der Sar,Rooney,1,,False,False,#f2e691,Manchester United
Van der Sar,Valencia,1,,False,False,#f2e691,Manchester United
Vidić,Evra,2,,False,False,#f2e691,Manchester United
Vidić,Ferdinand,3,,False,False,#f2e691,Manchester United
Vidić,Park,1,,False,False,#f2e691,Manchester United
Vidić,Scholes,2,,False,False,#f2e691,Manchester United
Vidić,Van der Sar,2,,False,False,#f2e691,Manchester United
