Outcome,Sequence,Num_Passes,Pass_Outcomes
Success,Valdés → Mascherano → Xavi → Messi → Iniesta → Busquets → Abidal → Busquets → Villa,8,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Valdés → Busquets → Xavi → Pedro → Abidal → Iniesta → Dani Alves → Messi → Piqué → Mascherano → Dani Alves → Villa,13,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Busquets → Iniesta → Messi → Piqué → Xavi → Dani Alves → Messi → Pedro → Abidal → Pedro → Abidal → Busquets → Xavi → Villa,14,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Iniesta → Busquets → Pedro → Abidal → Iniesta → Messi → Busquets → Xavi → Dani Alves → Villa,11,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Iniesta → Messi → Villa,3,"[{'from': 'Valdés', 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Dani Alves → Xavi → Messi → Xavi → Villa,5,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Xavi → Busquets → Dani Alves → Busquets → Iniesta → Messi → Iniesta → Xavi → Mascherano → Dani Alves → Villa,12,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Busquets → Villa,2,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Busquets → Xavi → Messi → Dani Alves → Busquets → Piqué → Pedro → Iniesta → Villa,9,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Busquets → Iniesta → Dani Alves → Xavi → Messi → Iniesta → Abidal → Pedro → Abidal → Piqué → Villa,11,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Villa'), 'success': np.True_}]"
